source_id,title,year,venue,family,primary_url,peer_reviewed,weights_updated,external_runtime_or_tool,model_role,occupied_claim,distinction_from_flagship,nearest_neighbor,inclusion_reason
RW-001,Program-Aided Language Models,2023,ICML/PMLR,program-aided reasoning,https://proceedings.mlr.press/v202/gao23f.html,yes,no,Python interpreter,generates executable program,Executing LM-generated programs can improve reasoning.,"No typed strict-epistemic frame, matched teacher controls, or fixed-small renderer after execution.",yes,nearest execution-first predecessor
RW-002,Logic-LM: Empowering Large Language Models with Symbolic Solvers for Faithful Logical Reasoning,2023,Findings EMNLP/ACL,neurosymbolic solver,https://aclanthology.org/2023.findings-emnlp.248/,yes,no,deterministic symbolic solvers,translates NL to symbolic formulation and refines errors,Symbolic translation plus deterministic inference improves logical reasoning.,No unified matched raw/teacher/compiled fixed-small-model design or separate typed renderer.,yes,nearest logical-solver predecessor
RW-003,LINC: A Neurosymbolic Approach for Logical Reasoning by Combining Language Models with First-Order Logic Provers,2023,EMNLP/ACL,neurosymbolic solver,https://aclanthology.org/2023.emnlp-main.313/,yes,no,first-order theorem prover,acts as semantic parser,A relatively small open model can benefit from an external prover.,"No typed epistemic frame ablation, teacher comparison, or independent layered scorer.",yes,nearest fixed/open-model predecessor
RW-004,Faithful Chain-of-Thought Reasoning,2023,IJCNLP-AACL/ACL,symbolic reasoning pipeline,https://aclanthology.org/2023.ijcnlp-main.20/,yes,no,task-specific deterministic solvers,translates problem then renders result,Translation plus deterministic solving can improve faithfulness.,No strict status/provenance/policy frame or strongest matched non-executed control.,yes,nearest faithful-execution predecessor
RW-005,SatLM: Satisfiability-Aided Language Models Using Declarative Prompting,2023,NeurIPS,declarative solver,https://proceedings.neurips.cc/paper_files/paper/2023/hash/8e9c7d4a48bdac81a58f983a64aaf42b-Abstract-Conference.html,yes,no,automated theorem prover,generates declarative specification,A prover can guarantee answers relative to the parsed specification.,No matched result-interface study or strict epistemic rendering contract.,yes,nearest declarative-runtime predecessor
RW-006,Binding Language Models in Symbolic Languages,2023,ICLR/OpenReview,neural-symbolic programs,https://openreview.net/forum?id=lH1PV42cbF,yes,no,SQL/Python plus LM API calls,parses programs and is called inside execution,Training-free symbolic programs can bind LM functions into execution.,Runtime still calls an LM for unresolved operations; not a closed trusted decision interface.,no,hybrid-program adjacency
RW-007,Natural Language Embedded Programs for Hybrid Language Symbolic Reasoning,2024,Findings NAACL/ACL,program-aided reasoning,https://aclanthology.org/2024.findings-naacl.259/,yes,no,Python interpreter,generates Python containing NL data structures,Executable hybrid programs can improve diverse reasoning tasks.,No strict epistemic state preservation or separate verified-frame renderer.,no,broad program-execution predecessor
RW-008,Faithful Logical Reasoning via Symbolic Chain-of-Thought,2024,ACL,symbolic chain of thought,https://aclanthology.org/2024.acl-long.720/,yes,no,LLM-based verifier,translates and reasons symbolically inside LM framework,Symbolic CoT and verification prompts improve logical reasoning.,Formal deduction remains probabilistic rather than relocated to trusted runtime.,no,direct non-runtime alternative
RW-009,Program of Thoughts Prompting,2022,arXiv,program-aided reasoning,https://arxiv.org/abs/2211.12588,no,no,Python interpreter,generates computation program,Interpreter offloading reduces numerical computation errors.,"Numerical focus; no epistemic status, provenance, conflict, or matched frame semantics.",no,execution adjacency
RW-010,MRKL Systems,2022,arXiv,modular tool architecture,https://arxiv.org/abs/2205.00445,no,no,specialist modules,routes requests and integrates results,Neural routers can delegate to discrete reasoning modules.,Architecture proposal lacks frozen matched causal experiment and strict endpoint.,no,foundational modular architecture
