candidate_id,source_id,title,primary_url,retrieved_on,version_or_venue,disposition,exclusion_reason,d1_fixed_weight_small_open,d2_matched_interface_contrast,d3_trusted_deterministic_semantics,d4_four_state_epistemic_status,d5_verified_result_renderer,d6_structure_and_copy_controls,d7_independent_layer_oracle,evidence_locator,notes
C-042,RW-042,SIGIL: Compiling Agent Skills into Typed Harnesses,https://arxiv.org/abs/2607.27309,2026-08-07,arXiv:2607.27309v1,include_nearest,,no,partial,partial,no,partial,no,partial,"HTML §§1,3,4; abstract; evaluation: 30 skills, gpt-4o/gpt-5, prose vs compiled harness","Typed AG-IR, source provenance, deterministic lowering and model/code ownership directly occupy compiler/runtime and enforcement territory; no strict four-state result contract or fixed small renderer."
C-043,RW-043,FACTS: Table Summarization via Offline Template Generation with Agentic Workflows,https://aclanthology.org/2026.findings-acl.453/,2026-08-07,Findings ACL 2026,include_adjacent,,unclear,partial,yes,no,no,no,no,"ACL Anthology abstract; pp. 9298-9315","Offline reusable SQL+Jinja templates execute deterministically and render summaries; adjacent to offline compilation but not a strict epistemic result-interface study."
C-044,RW-044,Skill Discovery for Software Scripting Automation via Offline Simulations with LLMs,https://aclanthology.org/2026.findings-eacl.37/,2026-08-07,Findings EACL 2026,include_adjacent,,unclear,partial,yes,no,partial,no,no,"ACL Anthology abstract; pp. 743-759","Offline LLM simulation creates execution-validated reusable scripts and beats runtime code generation on success/latency/token cost."
C-045,RW-045,SkillRT: Compiling Skills for Efficient Execution Everywhere,https://arxiv.org/abs/2604.03088,2026-08-07,arXiv:2604.03088,include_close,,partial,partial,partial,no,partial,no,no,"arXiv abstract; 118k skills; eight LLMs; three harnesses; SkillsBench","Capability-based compilation plus runtime/JIT solidification occupies portable skill compilation and small/large-model runtime efficiency; not formal epistemic result transport."
C-046,RW-046,Harnessing LLM Agents with Skill Programs,https://arxiv.org/abs/2605.17734,2026-08-07,arXiv:2605.17734,include_adjacent,,unclear,partial,partial,no,partial,no,partial,"arXiv abstract; web-search, math, coding evaluations","Executable Program Functions act as guardrails and can be used inference-time or post-training; adjacent because final decisions remain agent-loop interventions."
C-047,RW-047,Auto: The AGI Compiler,https://arxiv.org/abs/2607.04542,2026-08-07,arXiv:2607.04542,include_close,,unclear,partial,yes,no,partial,no,partial,"arXiv abstract; AUTO-BENCH; 560 spans; 300-item shifted stream","Compiles witnessed-deterministic behavior into verified programs with calibrated guards/deopt; strong compiler/verification adjacency, but not four-state epistemic rendering."
C-048,RW-048,SkCC: Portable and Secure Skill Compilation for Cross-Framework LLM Agents,https://arxiv.org/abs/2605.03353,2026-08-07,arXiv:2605.03353,include_close,,partial,partial,partial,no,partial,no,no,"arXiv abstract; SkillsBench; Claude Code and Kimi CLI","Strongly typed SkIR and compile-time analyzer occupy typed skill compilation, portability and compile-time enforcement; not authoritative domain-result semantics."
C-049,RW-049,Anything2Skill: Compiling External Knowledge into Reusable Skills for Agents,https://arxiv.org/abs/2606.09316,2026-08-07,arXiv:2606.09316,include_adjacent,,unclear,partial,partial,no,partial,no,no,"arXiv abstract; qsv and GitHub-CLI evaluations","Compiles heterogeneous external knowledge into structured executable skill contracts with evidence/confidence; procedural guidance rather than verified four-state decision result."
C-050,RW-050,The Readout Shortcut: Positional Number Copying Dominates Arithmetic CoT Readout in Small Language Models,https://arxiv.org/abs/2605.22870,2026-08-07,arXiv:2605.22870,include_control,,yes,partial,no,no,partial,yes,partial,"arXiv abstract; three 1-3B instruction-tuned LMs; GSM8K/GSM-Symbolic; distractor and trailing-number controls","Directly motivates answer-copying controls: small models often copy the trailing answer-like value instead of computing from reasoning."
C-051,RW-051,PROTEA: Offline Evaluation and Iterative Refinement for Multi-Agent LLM Workflows,https://aclanthology.org/2026.acl-demo.3/,2026-08-07,ACL 2026 System Demonstrations,include_control,,unclear,no,no,no,no,no,partial,"ACL Anthology abstract; pp. 27-35","Scores intermediate artifacts and localizes likely faulty workflow nodes; relevant to layer-error localization but evaluator independence is not the same contract."
E-001,,Sealing the Audit-Runtime Gap for LLM Skills,https://arxiv.org/abs/2605.05274,2026-08-07,arXiv:2605.05274,exclude,"Security provenance/registry/permission enforcement rather than compilation of semantic results or causal interface placement.",no,no,partial,no,no,no,no,"arXiv abstract","Same SIGIL acronym but different contribution; retained as an explicit exclusion to prevent title confusion."
E-002,,Compiling Code LLMs into Lightweight Executables,https://arxiv.org/abs/2603.29813,2026-08-07,arXiv:2603.29813,exclude,"Compiles/compresses neural model inference itself; does not compile domain knowledge, skills, or verified semantic results for an LM consumer.",no,no,no,no,no,no,no,"arXiv abstract","Compiler terminology collision only."
E-003,,Loom: A Scalable Analytical Neural Computer Architecture,https://arxiv.org/abs/2604.08816,2026-08-07,arXiv:2604.08816,exclude,"Executes C programs in an analytically constructed transformer; not an LLM interface-placement or agent semantic-compilation study.",yes,no,yes,no,no,no,no,"arXiv abstract","Interesting fixed-weight execution architecture but outside the flagship causal interface question."
E-004,,Lightweight LLM Agent Memory with Small Language Models,https://aclanthology.org/2026.acl-long.588/,2026-08-07,ACL 2026,exclude,"Memory retrieval/consolidation without formal execution, compiler-runtime interface, or strict epistemic result contract.",partial,no,no,no,no,no,no,"ACL Anthology abstract","Excluded under the predeclared generic-retrieval rule."
