rank,source_id,title,exact_task,model_scale,weights_updated,runtime,baselines,data,evaluation,distinction_from_flagship,evidence
1,RW-042,SIGIL: Compiling Agent Skills into Typed Harnesses,"Compile prose SKILL.md procedures into typed executable agent harnesses and test mandated procedure execution versus prose consumption.","gpt-4o and gpt-5; nine runs per skill per arm per model",no,"AG-IR; deterministic lowering to Jac/OSP harness; code-owned gates plus model-owned typed operations","Prose SKILL.md in ReAct loop vs compiled harness; same authoring model/interface","30 skills; three scenario tasks per skill; three repeats","Applicable-Mandate Compliance; full-procedure completion; tokens; capability-axis comparison","Occupies typed compiler/runtime boundary, model/code ownership, source provenance and prose-vs-compiled causal enforcement; no fixed small renderer consuming authoritative supported/refuted/unknown/conflicting results or no-conclusion/copying controls.","arXiv:2607.27309v1 §§1,5.1-5.5; HTML lines 95-121,403-463 retrieved 2026-08-07"
2,RW-038,SkillSmith: Compiling Agent Skills into Boundary-Guided Runtime Interfaces,"Compile heterogeneous skill packages offline into minimal executable boundary contracts and measure runtime cost/correctness across tasks, models and harnesses.","Main GPT-5.5; cross-model GPT-5.5, Claude Opus 4.7, DeepSeek V4 Flash, Qwen3.6 35B A3B",no,"Boundary-first compiler; typed operators/policies/validation/fallback; shared runtime","Raw-Skills; SkVM; no-skills context; paired same runtime/provider/tool environment","SkillsBench: 87 runnable tasks, 227 skill packages; seven verified representative tasks; five runs/condition","Deterministic verifier success; tokens; calls; latency; cost proxy; path consistency; failure localization","Occupies offline compiler-runtime reuse by smaller/efficient models and executable boundary contracts; no four-state strict epistemic result contract or matched no-conclusion/copying decomposition.","arXiv:2605.15215v1 PDF §§4.1-4.4,B.3; primary PDF text lines 368-447,468-491,799-860; screenshot endpoint attempted and returned Cache miss"
3,RW-039,Ontology-to-tools Compilation for Executable Semantic Constraint Enforcement in LLM Agents,"Compile ontology specifications into executable MCP-aware tools used to extract, validate, repair and instantiate ontology-consistent knowledge graphs.","Primary abstract does not state a fixed model scale; LLM agents in TWA proof-of-principle",no,"Ontology-aware executable tools; MCP; persistent KG state; structured constraint feedback","Proof-of-principle case study; no matched raw/teacher/compiled fixed-student contrast stated","Metal-organic polyhedra synthesis literature; 30-paper case reported by the primary technical report","Constraint-consistent KG construction; extraction/validation/repair outcomes","Occupies formal semantics compiled into executable LLM tools; targets constrained KG construction, not authoritative four-state query results rendered by a frozen small model.","arXiv:2602.03439v1 abstract; Cambridge Technical Report 343 primary page/report retrieved 2026-08-07"
4,RW-048,SkCC: Portable and Secure Skill Compilation for Cross-Framework LLM Agents,"Compile skills through a strongly typed intermediate representation into framework-specific executable artifacts while checking portability/security constraints.","Primary abstract evaluates Claude Code and Kimi CLI; exact underlying model scales are not stated in the abstract",no,"SkIR compiler and compile-time analyzer targeting heterogeneous agent frameworks","Native/raw skill execution versus compiled cross-framework execution in SkillsBench-style evaluation","SkillsBench tasks across Claude Code and Kimi CLI reported by the paper","Task pass rate, token/runtime efficiency, portability and security-analysis outcomes","Occupies typed skill IR and compile-time enforcement but not authoritative formal truth-status transport or independent strict-epistemic oracle.","arXiv:2605.03353 primary abstract/evaluation retrieved 2026-08-07"
5,RW-045,SkillRT: Compiling Skills for Efficient Execution Everywhere,"Compile reusable skills by capability and optionally solidify runtime behavior into code for efficient execution across models and harnesses.","Eight LLMs and three harnesses; exact model list retained in the primary paper",no,"Skill compiler/runtime with capability compilation and JIT code solidification","Raw/interpreted skill execution versus compiled runtime variants","118k skills plus SkillsBench-style evaluations reported","Completion, tokens, latency, portability; JIT speed/latency outcomes","Occupies portable skill compilation and cross-model runtime efficiency; no four-state epistemic status or authoritative result-frame causal study.","arXiv:2604.03088 primary abstract/evaluation retrieved 2026-08-07"
6,RW-047,Auto: The AGI Compiler,"Observe agent behavior and compile witnessed-deterministic portions into verified programs or distilled specialists with guards/deoptimization.","Frontier-agent workflow; exact model scale depends on experiment and is retained in the primary paper",varies,"Verified programs/distilled specialists; cognition binaries; calibrated guard/deopt","Original agent execution versus compiled/delegated execution","AUTO-BENCH: 560 spans plus a 300-item shifted stream reported","Cost/latency/behavior retention and guard/deopt evaluation","Occupies verified compilation of reusable agent behavior; not source-assertion-to-four-state result compilation or fixed-renderer interface placement.","arXiv:2607.04542 primary abstract/evaluation retrieved 2026-08-07"
7,RW-004,Faithful Chain-of-Thought Reasoning,"Separate translation, deterministic task-specific symbolic solving and natural-language answer construction.","Multiple GPT/Codex-family models; exact per-experiment assignments retained in primary paper",no,"Task-specific deterministic solvers between translation and answer construction","Standard CoT and decomposition/reasoning baselines","Multiple math, planning and symbolic-reasoning datasets","Accuracy and faithfulness-related evaluation","Occupies translate-solve-render decomposition but not typed four-state epistemic result transport or matched no-conclusion/copying controls.","ACL Anthology 2023.ijcnlp-main.20 primary paper; exact model table requires final-claim PDF refresh"
8,RW-003,LINC,"Translate natural-language logic problems into first-order logic and use a theorem prover.","Includes StarCoder+ 15.5B and proprietary GPT-family models",no,"First-order theorem prover after LM semantic parsing","Direct LM reasoning and neurosymbolic comparisons","ProofWriter, FOLIO and logical-reasoning benchmarks","Answer accuracy and pipeline failure analysis","Shows open-model benefit from formal proof but not raw/teacher/structured/executed result placement or four-state result frame.","ACL Anthology 2023.emnlp-main.313 primary paper"
9,RW-044,Skill Discovery for Software Scripting Automation via Offline Simulations with LLMs,"Generate, execute and refine reusable scripts offline so runtime automation can invoke a curated verified skill set instead of generating unverified code online.","Primary ACL abstract does not state one fixed model scale; exact models retained in paper",no,"Offline execution environment and reusable verified scripts","Offline-discovered reusable scripts versus runtime code-generation/automation alternatives","Adobe Illustrator software-automation tasks reported","Task success, latency and token-cost outcomes","Occupies offline generation of execution-verified reusable artifacts; not strict epistemic semantic-result placement.","ACL Anthology 2026.findings-eacl.37 primary abstract/paper"
10,RW-005,SatLM,"Generate a declarative satisfiability/theorem-proving specification and delegate solving to an automated theorem prover.","Multiple GPT/Codex-family models; exact per-experiment assignment retained in primary paper",no,"Automated theorem prover over LM-generated declarative specification","Program-aided and LM reasoning baselines","Eight reasoning datasets","Task accuracy; solver correctness conditional on generated specification","Occupies declarative solver-aided reasoning but not semantic-result placement into a strict four-state renderer interface.","NeurIPS 2023 proceedings primary page/paper; exact model table to refresh before claim freeze"
11,RW-002,Logic-LM,"Translate reasoning problems into symbolic formulations, execute deterministic solvers, and use solver feedback to refine formalization errors.","GPT-3.5 family in main experiments",no,"Task-dependent symbolic solvers plus self-refinement","Standard prompting and CoT plus solver-assisted variants","ProofWriter, PrOntoQA, FOLIO, LogicalDeduction, AR-LSAT","Accuracy across five datasets and refinement analysis","Occupies symbolic formulation plus deterministic inference/feedback but not fixed-weight result-interface placement with strict four-state transport.","ACL Anthology 2023.findings-emnlp.248 primary paper"
12,RW-046,Harnessing LLM Agents with Skill Programs,"Represent reusable agent capabilities as executable Program Functions that intervene during inference and can also support post-training/self-improvement.","Multiple agent/model settings across web-search, math and coding; exact scales retained in paper",varies,"Executable Program Functions in the agent loop","Agent execution without versus with skill-program interventions; training variants where applicable","Web-search, mathematics and coding evaluations","Task performance and intervention effects","Occupies executable skill-program interventions but not trusted formal semantic result transport; some variants change weights.","arXiv:2605.17734 primary abstract/evaluation"
13,RW-043,FACTS: Table Summarization via Offline Template Generation with Agentic Workflows,"Generate reusable SQL/Jinja templates offline and execute deterministic queries/rendering for repeated table summarization.","Primary ACL abstract does not state a fixed small-model deployment scale",no,"SQL execution plus Jinja2 deterministic rendering","Agentic/runtime summarization alternatives versus reusable offline templates","Tabular summarization schemas/tasks reported in Findings ACL paper","Summary quality plus efficiency/privacy-oriented execution outcomes","Occupies offline compilation into deterministic executable artifacts but not a four-state epistemic result-frame causal study.","ACL Anthology 2026.findings-acl.453 primary abstract/paper"
14,RW-001,Program-Aided Language Models,"Generate a program for a reasoning problem and execute it in Python to obtain the answer.","Codex-family model in original PAL evaluation",no,"Python interpreter","CoT and direct LM reasoning baselines","13 benchmark tasks including GSM8K","Task accuracy; GSM8K improvement over large-model CoT highlighted","Establishes execution-first reasoning but not open-world four-state status preservation or verified semantic-result frame consumed by a fixed renderer.","ICML/PMLR 2023 primary proceedings page/paper"
