invariant_id,semantic_invariant,positive_vector,negative_vector,mutation_ids,expected_A_result,expected_B_result,expected_scorer_fields
INV-CANON,canonical proposition and identifier equality,V-CANON-P,V-CANON-N,MUT-QUERY-004,valid canonical query or invalid_query identically,valid canonical query or invalid_query identically,query_predicate;query_arguments;schema_valid
INV-TYPE-ARITY,typed argument order arity and no coercion,V-TYPE-P,V-TYPE-N,MUT-QUERY-001;MUT-QUERY-002,valid exact query or invalid_query,valid exact query or invalid_query,query_arguments;query_arity;schema_valid
INV-SCOPE-VERSION-TIME,scope exactness version equality and half-open effective time,V-SCOPE-P,V-SCOPE-N,MUT-SCOPE-001;MUT-SCOPE-002,exclude incompatible assertion and preserve expected status,exclude incompatible assertion and preserve expected status,scope_version;status
INV-RULE-FIXPOINT,unordered finite least fixpoint and duplicate derivation invariance,V-RULE-P,V-RULE-N,MUT-STATUS-006,identical closure and status under reorder/duplicate,identical closure and status under reorder/duplicate,status;proof_trace
INV-OPEN-WORLD,explicit negation only and absence never false,V-OPEN-P,V-OPEN-N,MUT-NEGATION-001;MUT-NEGATION-002,refuted only from explicit negative else unknown,refuted only from explicit negative else unknown,status;allowed_or_forbidden_conclusion;evidence_roots
INV-FOUR-STATE,exhaustive P/N four-state truth table,V-STATUS-P,V-STATUS-N,MUT-STATUS-001;MUT-STATUS-002;MUT-STATUS-003;MUT-STATUS-004;MUT-STATUS-005,supported/refuted/conflicting/unknown exactly,supported/refuted/conflicting/unknown exactly,status;allowed_or_forbidden_conclusion
INV-EVIDENCE-ROOTS,sorted complete union of all valid derivation leaf roots,V-EVID-P,V-EVID-N,MUT-EVIDENCE-001;MUT-EVIDENCE-002;MUT-EVIDENCE-003,exact complete root sets,exact complete root sets,evidence_roots;provenance
INV-PROOF-NORMAL-FORM,acyclic resolvable canonical proof graph,V-PROOF-P,V-PROOF-N,MUT-PROOF-001;MUT-PROOF-002;MUT-PROOF-003,canonical proof graph or invalid_proof,canonical proof graph or invalid_proof,proof_trace
INV-POLICY,exact declarative policy mapping cannot alter status,V-POLICY-P,V-POLICY-N,MUT-POLICY-001;MUT-POLICY-002;MUT-POLICY-003,exact action/conclusion mapping,exact action/conclusion mapping,action;allowed_or_forbidden_conclusion;status
INV-CLARIFICATION,mandatory unresolved natural fields require clarification and fully specified query does not,V-CLAR-P,V-CLAR-N,MUT-CLARIFY-001;MUT-CLARIFY-002,track-specific expected clarification,track-specific expected clarification,clarification;query_predicate;query_arguments
INV-INVALID-QUERY,structural registry type arity/version failures do not produce semantic status,V-INVALID-P,V-INVALID-N,MUT-QUERY-002;MUT-QUERY-003;MUT-QUERY-004,invalid_query and reject_query with no status,invalid_query and reject_query with no status,schema_valid;query_predicate;query_arguments;query_arity;action
INV-RUNTIME-ERROR,runtime failure is distinct from semantic unknown,V-RUNTIME-P,V-RUNTIME-N,MUT-INFRA-002,semantic status on normal execution and infrastructure failure on forced error,semantic status on normal execution and runtime_error on forced error,schema_valid;status;action
INV-WARNINGS,mandatory warnings are exact policy obligations,V-WARN-P,V-WARN-N,MUT-POLICY-004,exact sorted warning set,exact sorted warning set,warnings
INV-ALTERNATIVE-FREEZE,acceptable alternatives immutable after first model output,V-ALT-P,V-ALT-N,MUT-ALTERNATIVE-001,frozen alternatives only,frozen alternatives only and reject post-model edit,query_predicate;query_arguments;clarification
INV-PROVENANCE,all evidence roots resolve to frozen source locators and fluent fabrication is invalid,V-PROV-P,V-PROV-N,MUT-PROVENANCE-001;MUT-PROVENANCE-002,exact resolvable provenance,exact resolvable provenance,provenance;evidence_roots
INV-RENDERER,renderer cannot override semantic frame,V-RENDER-P,V-RENDER-N,MUT-RENDER-001;MUT-RENDER-002,frozen frame remains authoritative,frozen frame remains authoritative,status;query_arguments;allowed_or_forbidden_conclusion;warnings;language_or_rendering_contract
INV-PACKET-SEPARATION,B-oracle cannot see expected outcomes or student/production frames,V-PACKET-P,V-PACKET-N,MUT-PACKET-001;MUT-PACKET-002,not_applicable_production_path_not_mutated,hard_fail_before_B_oracle_execution,schema_valid
INV-TRACK-SEPARATION,gold-query execution natural-query scoring production E2E and renderer ceiling claims remain distinct,V-TRACK-P,V-TRACK-N,MUT-TRACK-001,claim label must match producing track,claim label must match producing track,query_predicate;query_arguments;status;language_or_rendering_contract
