source_id,d1_fixed_weight_small_open,d2_matched_interface_contrast,d3_trusted_deterministic_semantics,d4_four_state_epistemic_status,d5_verified_result_renderer,d6_structure_and_copy_controls,d7_independent_layer_oracle,strict_yes_count,evidence_locator,scoring_note
RW-001,no,partial,yes,no,no,no,no,1,"primary paper abstract/method/evaluation via PMLR","Program execution is central; no strict epistemic/result-interface design."
RW-002,no,partial,yes,no,no,no,partial,1,"primary paper abstract/method/evaluation via ACL Anthology","Solver and feedback loop; no four-state transport."
RW-003,partial,partial,yes,no,no,no,partial,1,"primary paper abstract/method/evaluation via ACL Anthology","Open model plus theorem prover is close, but not fixed-small matched interface study."
RW-004,no,partial,yes,no,partial,no,partial,1,"primary paper method/evaluation via ACL Anthology","Translate-solve-render pipeline; no four-state result contract."
RW-005,no,partial,yes,no,no,no,partial,1,"primary paper abstract/method/evaluation via NeurIPS","Declarative theorem proving; specification-relative correctness."
RW-006,no,no,partial,no,no,no,no,0,"primary OpenReview paper abstract/method","Hybrid symbolic language still invokes LM at runtime."
RW-007,no,partial,yes,no,no,no,no,1,"primary ACL paper abstract/method","Executable hybrid programs without strict epistemic interface."
RW-008,no,partial,no,no,no,no,partial,0,"primary ACL paper abstract/method","Symbolic CoT uses probabilistic verifier rather than trusted semantic runtime."
RW-009,no,partial,yes,no,no,no,no,1,"primary arXiv paper abstract/method","Python offload for numerical reasoning."
RW-010,no,no,partial,no,no,no,no,0,"primary arXiv paper abstract/architecture","Modular routing architecture rather than causal interface experiment."
RW-011,no,no,partial,no,no,no,no,0,"primary ICLR/arXiv paper method","Interactive tool observations; LM remains planner/decision maker."
RW-012,no,no,partial,no,no,no,no,0,"primary NeurIPS/arXiv paper method","Weight-changing tool-use training."
RW-013,no,no,partial,no,no,no,no,0,"primary arXiv paper method","Frozen tool programs but no formal decision contract."
RW-014,no,no,partial,no,no,no,no,0,"primary arXiv paper method","API-call finetuning."
RW-015,no,no,partial,no,no,no,no,0,"primary arXiv paper method","Instruction-tuned API use."
RW-016,no,partial,no,no,partial,no,no,0,"primary EMNLP/arXiv paper method","Syntax-constrained SQL decoding; no semantic runtime."
RW-017,no,partial,no,no,partial,no,no,0,"primary ACL paper method","Grammar validity without domain execution."
RW-018,no,no,no,no,partial,no,no,0,"primary arXiv paper method","Prompt/query language constraints rather than trusted semantics."
RW-019,no,no,no,no,partial,no,no,0,"primary arXiv paper method","Finite-state guidance only."
RW-020,no,no,no,no,partial,no,no,0,"primary arXiv paper method","Grammar-aware generation only."
RW-021,no,no,no,no,partial,no,no,0,"primary arXiv paper method","Grammar engine infrastructure."
RW-022,no,partial,no,no,partial,no,partial,0,"primary arXiv benchmark paper","Structured-output evaluation, not formal epistemic correctness."
RW-023,no,partial,partial,no,partial,no,partial,0,"primary ACL Industry paper method/evaluation","Improves logical parsing; downstream semantics not the studied result interface."
RW-024,no,yes,no,no,no,no,partial,1,"primary arXiv paper method/evaluation","Prompt-engineering comparison; no execution."
RW-025,no,yes,no,no,no,no,partial,1,"primary arXiv paper method/evaluation","Prompt optimization; no trusted runtime."
RW-026,no,yes,no,no,no,no,partial,1,"primary ACL paper method/evaluation","Textual-gradient prompt optimization."
RW-027,no,yes,no,no,partial,no,partial,1,"primary arXiv DSPy paper method","Compiles/optimizes LM programs, not domain semantics."
RW-028,no,yes,no,no,no,no,partial,1,"primary PMLR paper method/evaluation","Evolutionary prompt optimization."
RW-029,no,yes,no,no,no,no,partial,1,"primary arXiv paper method","Evolutionary prompt search."
RW-030,no,partial,no,no,no,no,no,0,"primary arXiv paper method","Self-feedback refinement."
RW-031,no,partial,partial,no,no,no,partial,0,"primary arXiv paper method","Tool-assisted critique, LM remains final decider."
RW-032,no,partial,no,no,no,no,partial,0,"primary PMLR paper method","Weak-to-strong changes weights."
RW-033,no,partial,no,no,no,no,partial,0,"primary arXiv paper method","Learned process verifier and weight updates."
RW-034,no,partial,no,no,no,no,partial,0,"primary ACL paper method","Faithfulness training, not fixed-weight placement."
RW-035,yes,partial,yes,no,no,no,partial,2,"primary ACL 2026 paper abstract/method/evaluation","3B Prolog-tool training is scale-close but changes weights."
RW-036,no,partial,yes,no,no,no,partial,1,"primary ACL 2026 paper abstract/method","Formal checking of generated reasoning, not source-to-result compilation."
RW-037,no,yes,no,no,no,partial,partial,1,"primary ACL 2026 paper abstract/method","Causal faithfulness evaluation rather than trusted semantic placement."
RW-038,partial,yes,partial,no,partial,no,partial,1,"arXiv:2605.15215v1 §§4.1-4.4,B.3; primary PDF text retrieved 2026-08-07","Raw-vs-compiled boundary contract is very close; no four-state strict result frame."
RW-039,no,no,yes,no,partial,no,partial,1,"arXiv:2602.03439v1 abstract; Cambridge Technical Report 343 primary page","Formal ontology semantics become executable tools; no matched fixed-student result placement."
RW-040,no,partial,no,no,partial,no,no,0,"primary arXiv paper abstract/method","Compiled instructions/memory rather than trusted formal result."
RW-041,no,partial,partial,no,no,no,partial,0,"primary arXiv paper abstract/method","Compiled knowledge refinement with RL changes weights."
RW-042,no,yes,yes,no,partial,no,partial,2,"arXiv:2607.27309v1 §§1,3-5; HTML lines 95-137,403-463 retrieved 2026-08-07","Typed AG-IR, deterministic lowering and prose-vs-harness causal contrast directly occupy broad compiler/runtime territory."
RW-043,unclear,partial,yes,no,no,no,no,1,"ACL Anthology 2026.findings-acl.453 abstract/paper","Offline SQL/Jinja templates yield deterministic repeated execution."
RW-044,unclear,partial,yes,no,partial,no,no,1,"ACL Anthology 2026.findings-eacl.37 abstract/paper","Offline execution-verified reusable scripts."
RW-045,partial,yes,partial,no,partial,no,partial,1,"arXiv:2604.03088 abstract/evaluation","Cross-model/harness skill compilation; no formal four-state result."
RW-046,unclear,partial,partial,no,partial,no,partial,0,"arXiv:2605.17734 abstract/evaluation","Executable Program Functions intervene in agent workflows."
RW-047,unclear,partial,yes,no,partial,no,partial,1,"arXiv:2607.04542 abstract/evaluation","Verified-program compilation of witnessed behavior; not epistemic result transport."
RW-048,partial,yes,partial,no,partial,no,partial,1,"arXiv:2605.03353 abstract/evaluation","Strongly typed SkIR and compile-time enforcement."
RW-049,unclear,partial,partial,no,partial,no,no,0,"arXiv:2606.09316 abstract/evaluation","Knowledge-to-skill compilation with evidence/confidence, but procedural output."
RW-050,yes,yes,no,no,partial,yes,partial,3,"arXiv:2605.22870 abstract/causal interventions","Directly demonstrates small-model answer-copying/readout shortcut; validates need for copying control."
RW-051,unclear,partial,no,no,no,no,partial,0,"ACL Anthology 2026.acl-demo.3 abstract/system description","Intermediate artifact scoring/localization; not independent strict-epistemic oracle."
RW-052,no,yes,partial,no,no,no,partial,1,"arXiv:2501.09316 abstract/method; primary page retrieved 2026-08-07","SOP is explicitly a decision graph traversed to guide the agent and filter valid function calls; no strict epistemic result transport."
RW-053,yes,yes,no,no,no,no,partial,2,"ACL Anthology 2026.acl-long.948 abstract/PDF","Training-free PA-Tool changes schema naming for small models; direct alternative explanation for tool-selection gains."
RW-054,yes,no,no,no,no,no,partial,1,"ACL Anthology 2026.findings-acl.1349 abstract/PDF","1.5B/3B students receive teacher reason-act-observe trajectory distillation; weight-changing boundary control."
RW-055,yes,no,no,no,no,no,partial,1,"ACL Anthology 2026.acl-short.49 abstract/PDF","Qwen3-4B/8B SFT on selected teacher-generated data; weight-changing boundary control."
RW-056,yes,no,no,no,no,no,partial,1,"ACL Anthology 2026.acl-long.74 abstract/PDF","Qwen-REDI-1.5B uses teacher traces in SFT plus reinforcement distillation; no fixed-weight interface contrast."
RW-057,yes,partial,partial,no,no,no,partial,1,"ACL Anthology 2026.acl-industry.37 abstract/PDF","Small AgenticQwen models are trained with synthetic-data flywheels plus reasoning/agentic RL; broad Qwen tool-use adaptation is occupied."
RW-058,partial,yes,no,no,no,partial,partial,1,"ACL Anthology 2026.acl-long.478 abstract/PDF","Controlled distillation and action-graph/response similarity quantify teacher-specific behavioral convergence; diagnostic control rather than semantic placement."
